accession	arcogs	arcogs_geneID	arcogs_Description	Pathway	arcogs_evalue
GCA_000017945-FLGBHGLA_04540	arCOG03396	SqhC	Squalene_cyclase	I	2.1e-14
GCA_000017945-FLGBHGLA_04550	arCOG04346	-	5-formaminoimidazole-4-carboxamide-1-beta-D-ribofuranosyl_5'-monophosphate_synthetase_(purine_biosynthesis)	F	1.6e-115
GCA_000017945-FLGBHGLA_04560	arCOG01330	-	Uncharacterized_membrane_protein	S	5e-31
GCA_000017945-FLGBHGLA_04570	arCOG00631	-	CBS_domain	R	2.3e-16
GCA_000017945-FLGBHGLA_04580	arCOG00962	FrdB	Succinate_dehydrogenase/fumarate_reductase,_Fe-S_protein_subunit	C	1.2e-87
GCA_000017945-FLGBHGLA_04590	-	-	-	-	-
GCA_000017945-FLGBHGLA_04600	arCOG00463	-	Uri_superfamily_endonuclease	L	1.6e-21
GCA_000017945-FLGBHGLA_04610	-	-	-	-	-
GCA_000017945-FLGBHGLA_04620	arCOG01619	ARA1	Aldo/keto_reductase,_related_to_diketogulonate_reductase	R	6.4e-50
GCA_000017945-FLGBHGLA_04630	arCOG00084	Tan1	tRNA(Ser,Leu)_C12_N-acetylase_TAN1,_contains_THUMP_domain	J	1.6e-33
GCA_000017945-FLGBHGLA_04640	-	-	-	-	-
GCA_000017945-FLGBHGLA_04650	arCOG04287	RPP1A	Ribosomal_protein_L12E/L44/L45/RPP1/RPP2	J	2.2e-31
GCA_000017945-FLGBHGLA_04660	arCOG04262	-	Phosphopantothenate_synthetase	H	6.9e-90
GCA_000017945-FLGBHGLA_04670	arCOG00971	PRE1	20S_proteasome,_alpha_subunit	O	1.3e-76
GCA_000017945-FLGBHGLA_04680	arCOG01317	ActP/DhlC	Sodium:solute_symporter	R	5.1e-131
GCA_000017945-FLGBHGLA_04690	-	-	-	-	-
GCA_000017945-FLGBHGLA_04700	arCOG02053	UspA	Nucleotide-binding_protein,__UspA_family	T	5.9e-32
GCA_000017945-FLGBHGLA_04710	arCOG00477	UbiA	4-hydroxybenzoate_polyprenyltransferase_or_related_prenyltransferase	H	4.1e-71
GCA_000017945-FLGBHGLA_04720	arCOG00952	PflA	Pyruvate-formate_lyase-activating_enzyme	O	2.4e-51
GCA_000017945-FLGBHGLA_04730	arCOG00312	AhpC	AhpC/TSA_family_peroxiredoxin	O	1.1e-87
GCA_000017945-FLGBHGLA_04740	arCOG02657	Cmr4g7	CRISPR-Cas_system_related_protein,_RAMP_superfamily_Cas7_group	V	2.9e-62
GCA_000017945-FLGBHGLA_04750	arCOG02656	Cmr5SS	CRISPR-Cas_system_related_protein,_small_subunit_of_CASCADE_complex	V	5.3e-47
GCA_000017945-FLGBHGLA_04760	arCOG02661	Cmr6g7	CRISPR-Cas_system_related_protein,_RAMP_superfamily_Cas7_group	V	3.1e-51
GCA_000017945-FLGBHGLA_04770	arCOG02666	Cas10	CRISPR_associated_protein_Cas10,_large_subunit_of_Type_III_system_effector_complex,_contains_HD_family_nuclease	V	5.4e-124
GCA_000017945-FLGBHGLA_04780	arCOG02665	Cmr3g5	CRISPR-Cas_system_related_protein,_RAMP_superfamily_Cas5_group	V	1.5e-41
GCA_000017945-FLGBHGLA_04790	arCOG00485	LysS	Lysyl-tRNA_synthetase,_class_I	J	6.7e-110
GCA_000017945-FLGBHGLA_04800	arCOG00086	TrpG	Anthranilate/para-aminobenzoate_synthase_component_II	E	4.9e-46
GCA_000017945-FLGBHGLA_04810	arCOG00790	Cas4	CRISPR-associated_protein_Cas4,_RecB_family_exonuclease	V	7.8e-34
GCA_000017945-FLGBHGLA_04820	arCOG00504	-	Metal-dependent_hydrolase_of_the_beta-lactamase_superfamily_II	R	7.1e-22
GCA_000017945-FLGBHGLA_04830	-	-	-	-	-
GCA_000017945-FLGBHGLA_04840	arCOG00198	FepC	ABC-type_cobalamin/Fe3+-siderophores_transport_system,_ATPase_component	P	2.9e-26
GCA_000017945-FLGBHGLA_04850	arCOG00166	TupA	ABC-type_tungstate_transport_system,_periplasmic_component	P	5e-66
GCA_000017945-FLGBHGLA_04860	arCOG00229	TupB	ABC-type_tungstate_transport_system,_permease_component	H	1.5e-95
GCA_000017945-FLGBHGLA_04870	-	-	-	-	-
GCA_000017945-FLGBHGLA_04880	-	-	-	-	-
GCA_000017945-FLGBHGLA_04890	arCOG02623	-	_4-Hydroxybutyryl-CoA_synthetase_(AMP-forming)	C	1.1e-228
GCA_000017945-FLGBHGLA_04900	arCOG04260	HMG1	Hydroxymethylglutaryl-CoA_reductase	I	6.2e-144
GCA_000017945-FLGBHGLA_04910	arCOG02491	-	WD40_repeats_containing_protein	S	1.2e-25
GCA_000017945-FLGBHGLA_04920	arCOG00989	Tgt	Queuine/archaeosine_tRNA-ribosyltransferase	J	5.1e-87
GCA_000017945-FLGBHGLA_04930	arCOG02312	SalY	ABC-type_antimicrobial_peptide_transport_system,_permease_component	V	2.6e-55
GCA_000017945-FLGBHGLA_04940	arCOG02089	-	S-layer_domain	M	4.2e-138
GCA_000017945-FLGBHGLA_04950	arCOG04306	-	Predicted_endonuclease,_RecB_family	L	7.3e-42
GCA_000017945-FLGBHGLA_04960	-	-	-	-	-
GCA_000017945-FLGBHGLA_04970	arCOG01044	CysG	Siroheme_synthase_(precorrin-2_oxidase/ferrochelatase_domain)	H	7.9e-54
GCA_000017945-FLGBHGLA_04980	-	-	-	-	-
GCA_000017945-FLGBHGLA_04990	arCOG04063	KptA	RNA:NAD_2'-phosphotransferase	J	5.1e-63
GCA_000017945-FLGBHGLA_05000	arCOG03218	Thg1	tRNAHis_guanylyltransferase	J	6.3e-41
GCA_000017945-FLGBHGLA_05010	arCOG01863	MBF1	Ribosome-binding_protein_aMBF1,_translation_factor,_contains_Zn-ribbon_and_HTH_domains	J	3.2e-31
GCA_000017945-FLGBHGLA_05020	arCOG00940	-	Radical_SAM_superfamily_enzyme	R	2.2e-154
GCA_000017945-FLGBHGLA_05030	arCOG00934	PflX	Radical_SAM_superfamily_enzyme	R	6.6e-143
GCA_000017945-FLGBHGLA_05040	arCOG05706	DAP2	Dipeptidyl_aminopeptidase/acylaminoacyl-peptidase	E	3.2e-53
GCA_000017945-FLGBHGLA_05050	arCOG00636	HypE	Hydrogenase_maturation_factor	O	5.7e-74
GCA_000017945-FLGBHGLA_05060	-	-	-	-	-
GCA_000017945-FLGBHGLA_05070	arCOG01746	-	Predicted_ATPase_of_the_ABC_class	R	4.3e-140
GCA_000017945-FLGBHGLA_05080	arCOG03770	-	Zn_finger_protein	S	3.9e-29
GCA_000017945-FLGBHGLA_05090	arCOG01580	-	DNA-binding_transcriptional_regulator,_Lrp_family	K	2.4e-32
GCA_000017945-FLGBHGLA_05100	arCOG00029	PyrE	Orotate_phosphoribosyltransferase	F	2.6e-48
GCA_000017945-FLGBHGLA_05110	arCOG00475	MetF	5,10-methylenetetrahydrofolate_reductase	E	2.3e-56
GCA_000017945-FLGBHGLA_05120	arCOG00600	-	CBS_domain	R	2.2e-30
GCA_000017945-FLGBHGLA_05130	-	-	-	-	-
GCA_000017945-FLGBHGLA_05140	arCOG05996	-	Uncharacterized_protein	S	1.4e-42
GCA_000017945-FLGBHGLA_05150	arCOG04204	-	N-terminal_nucleophile_hydrolase_superfamily_protein	R	2.6e-22
GCA_000017945-FLGBHGLA_05160	-	-	-	-	-
GCA_000017945-FLGBHGLA_05170	-	-	-	-	-
GCA_000017945-FLGBHGLA_05180	arCOG06056	HyaD	Ni,Fe-hydrogenase_maturation_factor	C	3.3e-36
GCA_000017945-FLGBHGLA_05190	arCOG04429	HyaD	Ni,Fe-hydrogenase_maturation_factor	C	1.9e-17
GCA_000017945-FLGBHGLA_05200	arCOG04140	-	Uncharacterized_protein	S	2.6e-20
GCA_000017945-FLGBHGLA_05210	arCOG00042	TilS	tRNA(Ile)-lysidine_synthase_TilS/MesJ	J	2.9e-55
GCA_000017945-FLGBHGLA_05220	arCOG01723	CyaB	Adenylate_cyclase,_class_2_(thermophilic)	F	1.9e-36
GCA_000017945-FLGBHGLA_05230	arCOG01989	-	Zn-ribbon_RNA-binding_protein_with_a_function_in_translation	J	3.7e-09
GCA_000017945-FLGBHGLA_05240	arCOG01988	EFB1	Translation_elongation_factor_EF-1beta	J	4.6e-24
GCA_000017945-FLGBHGLA_05250	arCOG04261	-	Uncharacterized_protein	S	5.2e-56
GCA_000017945-FLGBHGLA_05260	arCOG00969	-	Predicted_hydrolase_(metallo-beta-lactamase_superfamily)	R	1.9e-74
GCA_000017945-FLGBHGLA_05270	arCOG01036	HemA	Glutamyl-tRNA_reductase	H	3.7e-100
GCA_000017945-FLGBHGLA_05280	-	-	-	-	-
GCA_000017945-FLGBHGLA_05290	arCOG01511	HyuA	N-methylhydantoinase_A/acetone_carboxylase,_beta_subunit	E	2.5e-140
GCA_000017945-FLGBHGLA_05300	-	-	-	-	-
GCA_000017945-FLGBHGLA_05310	arCOG09414	-	Uncharacterized_protein	S	5e-195
GCA_000017945-FLGBHGLA_05320	arCOG01526	TopG2	Reverse_gyrase	L	0
GCA_000017945-FLGBHGLA_05330	arCOG00555	-	Distinct_helicase_family_with_a_unique_C-terminal_domain_including_a_metal-binding_cysteine_cluster	R	3.2e-115
GCA_000017945-FLGBHGLA_05340	-	-	-	-	-
GCA_000017945-FLGBHGLA_05350	arCOG01123	MtnA	Methylthioribose-1-phosphate_isomerase_(methionine_salvage_pathway),_a_paralog_of_eIF-2B_alpha_subunit	E	3.1e-129
GCA_000017945-FLGBHGLA_05360	-	-	-	-	-
GCA_000017945-FLGBHGLA_05370	arCOG01107	ArgE	Acetylornithine_deacetylase/Succinyl-diaminopimelate_desuccinylase_or_related_deacylase	E	4.4e-74
GCA_000017945-FLGBHGLA_05380	-	-	-	-	-
GCA_000017945-FLGBHGLA_05390	arCOG04409	-	Predicted_nuclease_(RNAse_H_fold)	R	1.2e-41
GCA_000017945-FLGBHGLA_05400	-	-	-	-	-
GCA_000017945-FLGBHGLA_05410	arCOG01145	-	Phosphohydrolase,_Icc/MPP_superfamily	R	1.3e-31
GCA_000017945-FLGBHGLA_05420	-	-	-	-	-
GCA_000017945-FLGBHGLA_05430	arCOG00084	Tan1	tRNA(Ser,Leu)_C12_N-acetylase_TAN1,_contains_THUMP_domain	J	4e-10
GCA_000017945-FLGBHGLA_05440	arCOG02025	-	Polysulphide_reductase,_NrfD	C	1.5e-106
GCA_000017945-FLGBHGLA_05450	arCOG01500	FdhB	Fe-S-cluster-containing_formate_dehydrogenase_component	C	2e-42
GCA_000017945-FLGBHGLA_05460	arCOG09418	-	Multiheme_cytochrome	C	1.7e-22
GCA_000017945-FLGBHGLA_05470	arCOG04133	AroC	Chorismate_synthase	E	4.3e-131
GCA_000017945-FLGBHGLA_05480	arCOG04125	RCL1	RNA_3'-terminal_phosphate_cyclase	J	2e-106
GCA_000017945-FLGBHGLA_05490	arCOG01911	SppA	Periplasmic_serine_protease_(ClpP_class)	O	1.3e-94
GCA_000017945-FLGBHGLA_05500	-	-	-	-	-
GCA_000017945-FLGBHGLA_05510	arCOG00702	AprE	Predicted_multidomain_toxin,_contains_peptidase_S8_domain,_delivery_module_and_Rnase_A_domain	V	6.1e-28
GCA_000017945-FLGBHGLA_05520	-	-	-	-	-
GCA_000017945-FLGBHGLA_05530	arCOG01348	nadF	NAD_kinase	H	5.2e-41
GCA_000017945-FLGBHGLA_05540	arCOG02246	CfbA	Sirohydrochlorin_ferrochelatase,__coenzyme_F430_biosynthesis_enzyme	H	8.2e-18
GCA_000017945-FLGBHGLA_05550	arCOG04171	-	Uncharacterized_protein	S	6.6e-18
GCA_000017945-FLGBHGLA_05560	arCOG00238	ArsB	Na+/H+_antiporter_NhaD_or_related_arsenite_permease	P	2.1e-76
GCA_000017945-FLGBHGLA_05570	arCOG01025	AroK2	Archaeal_shikimate_kinase	E	1.6e-72
GCA_000017945-FLGBHGLA_05580	arCOG02491	-	WD40_repeats_containing_protein	S	1e-47
GCA_000017945-FLGBHGLA_05590	arCOG01548	NuoD	NADH_dehydrogenase_subunit_D	C	5.5e-97
GCA_000017945-FLGBHGLA_05600	arCOG01554	NuoB	F420H2_dehydrogenase_subunit,_related_to_NADH:ubiquinone_oxidoreductase_20_kD_subunit	C	7.7e-46
GCA_000017945-FLGBHGLA_05610	arCOG01557	NuoA	NADH_dehydrogenase_subunit_A	C	6.4e-18
GCA_000017945-FLGBHGLA_05620	arCOG01538	NuoM	NADH_dehydrogenase_subunit_M	C	2.5e-88
GCA_000017945-FLGBHGLA_05630	arCOG01539	NuoL	NADH_dehydrogenase_subunit__L	C	1.5e-107
GCA_000017945-FLGBHGLA_05640	arCOG01904	-	CTP-dependent_Riboflavin_kinase	H	2.7e-40
GCA_000017945-FLGBHGLA_05650	-	-	-	-	-
GCA_000017945-FLGBHGLA_05660	-	-	-	-	-
GCA_000017945-FLGBHGLA_05670	arCOG04975	-	Uncharacterized_membrane_protein	S	3.7e-06
GCA_000017945-FLGBHGLA_05680	arCOG00198	FepC	ABC-type_cobalamin/Fe3+-siderophores_transport_system,_ATPase_component	P	5.3e-19
GCA_000017945-FLGBHGLA_05690	arCOG01671	UbiD	3-polyprenyl-4-hydroxybenzoate_decarboxylase_or_related_decarboxylase	H	1.1e-107
GCA_000017945-FLGBHGLA_05700	arCOG01872	MobA	Molybdopterin-guanine_dinucleotide_biosynthesis_protein_A	H	6.9e-11
GCA_000017945-FLGBHGLA_05710	arCOG00833	RimI	Acetyltransferase_(GNAT)_family	R	1.3e-31
GCA_000017945-FLGBHGLA_05720	arCOG01704	Dfp	Phosphopantothenoylcysteine_synthetase/decarboxylase	H	5.7e-103
GCA_000017945-FLGBHGLA_05730	arCOG05728	-	MFS_family_permease	G	9.4e-68
GCA_000017945-FLGBHGLA_05740	arCOG02920	PetE	Plastocyanin/azurin/halocyanin_family_protein	C	3.9e-06
GCA_000017945-FLGBHGLA_05750	arCOG00426	RecJ	DHH_superfamily_phosphohydrolase/exonuclease	L	5e-80
GCA_000017945-FLGBHGLA_05760	arCOG08830	-	Uncharacterized_protein	S	2.8e-25
GCA_000017945-FLGBHGLA_05770	arCOG00215	CinA	Predicted_nucleotide-utilizing_enzyme_related_to_molybdopterin-biosynthesis_enzyme_MoeA	R	1.2e-59
GCA_000017945-FLGBHGLA_05780	arCOG00574	THI4	Archaeal_ribulose_1,5-bisphosphate_synthetase/yeast_thiazole_synthase	H	2.2e-79
GCA_000017945-FLGBHGLA_05790	arCOG02491	-	WD40_repeats_containing_protein	S	4.9e-61
GCA_000017945-FLGBHGLA_05800	arCOG02676	HisI	Phosphoribosyl-AMP_cyclohydrolase	E	7.1e-44
GCA_000017945-FLGBHGLA_05810	-	-	-	-	-
GCA_000017945-FLGBHGLA_05820	arCOG00946	PflA	Pyruvate-formate_lyase-activating_enzyme	O	1.1e-126
GCA_000017945-FLGBHGLA_05830	arCOG02053	UspA	Nucleotide-binding_protein,__UspA_family	T	3.9e-30
GCA_000017945-FLGBHGLA_05840	-	-	-	-	-
GCA_000017945-FLGBHGLA_05850	arCOG00589	FlhG	FleN_family_ATPase_involved_in_pili_biosynthesis	N	9.4e-21
GCA_000017945-FLGBHGLA_05860	arCOG00860	-	Isopentenyl_phosphate_kinase,_enzyme_of_modified_mevalonate_pathway	I	3e-44
GCA_000017945-FLGBHGLA_05870	arCOG06103	-	Predicted_viral_immunity_protein,_contains_CARF_and_C-terminal_PIN_domain	V	7.7e-91
GCA_000017945-FLGBHGLA_05880	arCOG00405	GRS1	Glycyl-tRNA_synthetase_(class_II)	J	3.5e-186
GCA_000017945-FLGBHGLA_05890	-	-	-	-	-
GCA_000017945-FLGBHGLA_05900	-	-	-	-	-
GCA_000017945-FLGBHGLA_05910	arCOG00121	AsnB	Asparagine_synthase_(glutamine-hydrolyzing)	E	1.5e-44
GCA_000017945-FLGBHGLA_05920	arCOG01671	UbiD	3-polyprenyl-4-hydroxybenzoate_decarboxylase_or_related_decarboxylase	H	3.4e-111
GCA_000017945-FLGBHGLA_05930	arCOG04427	HypC	Hydrogenase_maturation_factor	O	2.2e-25
GCA_000017945-FLGBHGLA_05940	arCOG00009	PotE	Amino_acid_transporter	E	6.8e-62
GCA_000017945-FLGBHGLA_05950	-	-	-	-	-
GCA_000017945-FLGBHGLA_05960	arCOG04111	RPB11	DNA-directed_RNA_polymerase,_subunit_L	K	4.1e-16
GCA_000017945-FLGBHGLA_05970	arCOG00908	-	Uncharacterized_protein	S	1.7e-46
GCA_000017945-FLGBHGLA_05980	arCOG00676	Csl4	Exosome_complex_RNA-binding_protein_Csl4,_contains_S1_and_Zn-ribbon_domains	J	1.6e-39
GCA_000017945-FLGBHGLA_05990	arCOG00833	RimI	Acetyltransferase_(GNAT)_family	R	4e-38
GCA_000017945-FLGBHGLA_06000	-	-	-	-	-
GCA_000017945-FLGBHGLA_06010	arCOG01430	CysK	Cysteine_synthase	E	9.9e-69
GCA_000017945-FLGBHGLA_06020	arCOG01688	-	Predicted_transcriptional_regulator,_contains_HTH_and_4VR_domain	R	7.8e-12
GCA_000017945-FLGBHGLA_06030	arCOG00358	DRG	Ribosome-interacting_GTPase_1	J	1.1e-129
GCA_000017945-FLGBHGLA_06040	arCOG00570	-	Geranylgeranyl_reductase,_flavoprotein	I	1.6e-39
GCA_000017945-FLGBHGLA_06050	-	-	-	-	-
GCA_000017945-FLGBHGLA_06060	arCOG04048	Dcd	Deoxycytidine_deaminase	F	4.6e-13
GCA_000017945-FLGBHGLA_06070	arCOG01532	UppS	Undecaprenyl_pyrophosphate_synthase	I	9e-79
GCA_000017945-FLGBHGLA_06080	arCOG01306	RPT1	ATP-dependent_26S_proteasome_regulatory_subunit	O	2.4e-135
GCA_000017945-FLGBHGLA_06090	arCOG04099	RpsS	Ribosomal_protein_S19	J	2e-60
GCA_000017945-FLGBHGLA_06100	arCOG04098	RplV	Ribosomal_protein_L22	J	4.1e-54
GCA_000017945-FLGBHGLA_06110	arCOG04097	RpsC	Ribosomal_protein_S3	J	6.8e-62
GCA_000017945-FLGBHGLA_06120	arCOG00785	RpmC	Ribosomal_protein_L29	J	1.3e-20
GCA_000017945-FLGBHGLA_06130	arCOG00784	POP4	RNase_P/RNase_MRP_subunit_p29	J	2.4e-16
GCA_000017945-FLGBHGLA_06140	-	-	-	-	-
GCA_000017945-FLGBHGLA_06150	-	-	-	-	-
GCA_000017945-FLGBHGLA_06160	arCOG02143	HpaB	4-hydroxyphenylacetate_3-monooxygenase	C	2.2e-195
GCA_000017945-FLGBHGLA_06170	arCOG00689	AllB	Dihydroorotase_or_related_cyclic_amidohydrolase	F	1.4e-87
GCA_000017945-FLGBHGLA_06180	-	-	-	-	-
GCA_000017945-FLGBHGLA_06190	arCOG00606	-	CBS_domain	R	1.9e-37
GCA_000017945-FLGBHGLA_06200	-	-	-	-	-
GCA_000017945-FLGBHGLA_06210	arCOG00094	PurF	Glutamine_phosphoribosylpyrophosphate_amidotransferase	F	2.3e-124
GCA_000017945-FLGBHGLA_06220	arCOG02187	NapF	Ferredoxin_domain_containing_protein	C	3.4e-76
GCA_000017945-FLGBHGLA_06230	arCOG04060	-	Predicted_transcriptional_regulator	K	4.8e-68
GCA_000017945-FLGBHGLA_06240	arCOG04061	EGD2	Transcription_factor_homologous_to_NACalpha-BTF3	K	6.1e-26
GCA_000017945-FLGBHGLA_06250	arCOG00541	YSH1	5'-3'_Exoribonuclease_of_the_beta-lactamase_fold_involved_in_RNA_processing	J	1.3e-126
GCA_000017945-FLGBHGLA_06260	arCOG04057	-	Ribosomal_L38E	J	4.2e-12
GCA_000017945-FLGBHGLA_06270	arCOG01336	AMMECR1	Uncharacterized_protein	S	4.7e-59
GCA_000017945-FLGBHGLA_06280	arCOG00232	PhoU	Phosphate_uptake_regulator	P	4.5e-34
GCA_000017945-FLGBHGLA_06290	arCOG04465	IlvC	Ketol-acid_reductoisomerase	E	4.3e-122
GCA_000017945-FLGBHGLA_06300	-	-	-	-	-
GCA_000017945-FLGBHGLA_06310	arCOG04138	NtpI	Archaeal/vacuolar-type_H+-ATPase_subunit_I	C	4.6e-71
GCA_000017945-FLGBHGLA_06320	arCOG00488	DnaN	DNA_polymerase_sliding_clamp_subunit_(PCNA_homolog)	L	7.7e-55
GCA_000017945-FLGBHGLA_06330	arCOG00279	SpeD	S-adenosylmethionine_decarboxylase/arginine_decarboxylase	E	2.3e-40
GCA_000017945-FLGBHGLA_06340	-	-	-	-	-
GCA_000017945-FLGBHGLA_06350	-	-	-	-	-
GCA_000017945-FLGBHGLA_06360	arCOG00624	MgtE2	Permease,_similar_to_cation_transporter	P	3.2e-44
GCA_000017945-FLGBHGLA_06370	arCOG00545	YSH1	Predicted_exonuclease_of_the_beta-lactamase_fold_involved_in_RNA_processing	J	5.9e-59
GCA_000017945-FLGBHGLA_06380	arCOG00970	PRE1	20S_proteasome,_beta_subunit	O	5.4e-60
GCA_000017945-FLGBHGLA_06390	arCOG01296	TrxB	Thioredoxin_reductase	O	1.2e-59
GCA_000017945-FLGBHGLA_06400	-	-	-	-	-
GCA_000017945-FLGBHGLA_06410	arCOG00047	Trm11	tRNA_G10__N-methylase_Trm11	J	8.7e-51
GCA_000017945-FLGBHGLA_06420	arCOG02572	WrbA	Multimeric_flavodoxin_WrbA	R	6.5e-46
GCA_000017945-FLGBHGLA_06430	arCOG00862	ArgB	Acetylglutamate_kinase	E	7.1e-68
GCA_000017945-FLGBHGLA_06440	arCOG00252	WecC	UDP-N-acetyl-D-mannosaminuronate_dehydrogenase	M	2.1e-119
GCA_000017945-FLGBHGLA_06450	arCOG01392	WecB	UDP-N-acetylglucosamine_2-epimerase	M	1.5e-118
GCA_000017945-FLGBHGLA_06460	arCOG04849	-	Uncharacterized_protein	S	1.3e-22
GCA_000017945-FLGBHGLA_06470	-	-	-	-	-
GCA_000017945-FLGBHGLA_06480	arCOG01403	AglL	Glycosyltransferase	M	6.1e-15
GCA_000017945-FLGBHGLA_06490	arCOG01405	RfaG	Glycosyltransferase	M	7.2e-67
GCA_000017945-FLGBHGLA_06500	-	-	-	-	-
GCA_000017945-FLGBHGLA_06510	arCOG01621	Tdh	Threonine_dehydrogenase_or_related_Zn-dependent_dehydrogenase	E	5.2e-116
GCA_000017945-FLGBHGLA_06520	arCOG04189	-	Membrane_associated_transcription_regulator,_contains_HTH_domain	S	2.7e-16
GCA_000017945-FLGBHGLA_06530	arCOG00940	-	Radical_SAM_superfamily_enzyme	R	5e-109
GCA_000017945-FLGBHGLA_06540	arCOG04142	DYS1	Deoxyhypusine_synthase	O	1.9e-87
GCA_000017945-FLGBHGLA_06550	arCOG04542	FolE	GTP_cyclohydrolase_I	H	2.2e-57
GCA_000017945-FLGBHGLA_06560	arCOG00050	SpeE	Spermidine_synthase	E	7.8e-90
GCA_000017945-FLGBHGLA_06570	arCOG01143	ApaH	Serine/threonine_protein_phosphatase_PP2A_family	T	5.3e-42
GCA_000017945-FLGBHGLA_06580	arCOG00112	ArgG	Argininosuccinate_synthase	E	1.4e-155
GCA_000017945-FLGBHGLA_06590	arCOG01437	Cas6	CRISPR-Cas_system_related_protein,_RAMP_superfamily_Cas6_group	V	6.5e-77
GCA_000017945-FLGBHGLA_06600	arCOG00085	GuaA	GMP_synthase,_PP-ATPase_domain/subunit	F	3e-101
GCA_000017945-FLGBHGLA_06610	-	-	-	-	-
GCA_000017945-FLGBHGLA_06620	-	-	-	-	-
GCA_000017945-FLGBHGLA_06630	arCOG04164	-	Uncharacterized_protein,_DUF1152_family	S	1.2e-96
GCA_000017945-FLGBHGLA_06640	arCOG04459	NadA	Quinolinate_synthase	H	2.5e-99
GCA_000017945-FLGBHGLA_06650	-	-	-	-	-
GCA_000017945-FLGBHGLA_06660	-	-	-	-	-
GCA_000017945-FLGBHGLA_06670	arCOG04264	-	Uncharacterized_protein,_predicted_prefoldin	S	5.2e-22
GCA_000017945-FLGBHGLA_06680	arCOG02092	LeuA	Isopropylmalate/homocitrate/citramalate_synthase	E	3.6e-113
GCA_000017945-FLGBHGLA_06690	arCOG00586	Soj	ATPase_involved_in_chromosome_partitioning,__ParA_family	D	1.7e-08
GCA_000017945-FLGBHGLA_06700	arCOG01963	-	PhoU-like_domain_fused_to_TrkA-C_domain	R	2.2e-55
GCA_000017945-FLGBHGLA_06710	arCOG00600	-	CBS_domain	R	5.5e-37
GCA_000017945-FLGBHGLA_06720	arCOG04221	NagD	Ribonucleotide_monophosphatase_NagD,_HAD_superfamily	F	2.8e-67
GCA_000017945-FLGBHGLA_06730	-	-	-	-	-
GCA_000017945-FLGBHGLA_06740	arCOG01762	RpoB/Rpo2	DNA-directed_RNA_polymerase_subunit_B	K	0
GCA_000017945-FLGBHGLA_06750	arCOG04258	RPB5	DNA-directed_RNA_polymerase,_subunit_H,_RpoH/RPB5	K	7.3e-23
GCA_000017945-FLGBHGLA_06760	arCOG02742	-	Uncharacterized_membrane_anchored_protein_with_extracellular_vWF_domain_and_Ig-like_domain	R	2.4e-07
GCA_000017945-FLGBHGLA_06770	-	-	-	-	-
GCA_000017945-FLGBHGLA_06780	arCOG00606	-	CBS_domain	R	1.1e-29
GCA_000017945-FLGBHGLA_06790	-	-	-	-	-
GCA_000017945-FLGBHGLA_06800	arCOG04161	DPH5	Diphthamide_biosynthesis_methyltransferase	J	2.9e-53
GCA_000017945-FLGBHGLA_06810	arCOG01009	-	Transcriptional_regulator,_contains_N-terminal_RHH_domain	K	3.3e-11
GCA_000017945-FLGBHGLA_06820	arCOG00455	ProC	Pyrroline-5-carboxylate_reductase	E	9.1e-54
GCA_000017945-FLGBHGLA_06830	-	-	-	-	-
GCA_000017945-FLGBHGLA_06840	arCOG00721	Nob1	Endonuclease_Nob1,_consists_of_a_PIN_domain_and_a_Zn-ribbon_module	J	9.6e-33
GCA_000017945-FLGBHGLA_06850	arCOG01723	CyaB	Adenylate_cyclase,_class_2_(thermophilic)	F	3.6e-11
GCA_000017945-FLGBHGLA_06860	-	-	-	-	-
GCA_000017945-FLGBHGLA_06870	arCOG01107	ArgE	Acetylornithine_deacetylase/Succinyl-diaminopimelate_desuccinylase_or_related_deacylase	E	1.2e-67
GCA_000017945-FLGBHGLA_06880	arCOG01935	-	CARF_and_HTH_domains_containing_protein	V	4.2e-44
GCA_000017945-FLGBHGLA_06890	-	-	-	-	-
GCA_000017945-FLGBHGLA_06900	arCOG07100	-	RNAse_H_superfamily_ribonuclease	R	1.1e-06
GCA_000017945-FLGBHGLA_06910	-	-	-	-	-
GCA_000017945-FLGBHGLA_06920	-	-	-	-	-
GCA_000017945-FLGBHGLA_06930	arCOG03872	-	Pilin/Flagellin,_FlaG/FlaF_family	N	4.4e-07
GCA_000017945-FLGBHGLA_06940	arCOG01069	-	CoA-dependent_NAD(P)H_Sulfur_Oxidoreductase	P	6.8e-124
GCA_000017945-FLGBHGLA_06950	arCOG02113	-	Uncharacterized_protein_YjgD,_DUF1641_family	S	1.5e-25
GCA_000017945-FLGBHGLA_06960	arCOG01064	HcaD	NAD(FAD)-dependent_dehydrogenase	R	4e-82
GCA_000017945-FLGBHGLA_06970	arCOG01187	HypF	Hydrogenase_maturation_factor	O	1.8e-271
GCA_000017945-FLGBHGLA_06980	arCOG01180	RIO1	Serine/threonine_protein_kinase_involved_in_cell_cycle_control	T	1.1e-96
GCA_000017945-FLGBHGLA_06990	arCOG01179	InfA	Translation_initiation_factor_1_(IF-1)	J	1.5e-35
GCA_000017945-FLGBHGLA_07000	arCOG01946	RPS6A	Ribosomal_protein_S6E/S10	J	5.9e-40
GCA_000017945-FLGBHGLA_07010	arCOG04407	TtdA	Tartrate_dehydratase_alpha_subunit/Fumarate_hydratase_class_I,_N-terminal_domain	C	5.9e-115
